Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2021-01-27 18:34:17,US0079031078,AMD,"Advanced Micro Devices",0.2500000000,91.17,USD,1.21151,,18.81,,,,,,,EOF909657146,
Market buy,2021-01-27 19:14:04,US0272631021,AMLM,"American Lithium Minerals",10.0000000000,0.95,USD,1.21140,,7.84,,,,,,,EOF910801830,
Market buy,2021-01-28 08:00:25,DE0005557508,DTE,"Deutsche Telekom",1.0000000000,15.08,EUR,1.00000,,15.08,,,,,,,EOF916091099,
Market buy,2021-01-28 09:40:00,GB0009895292,AZN,"AstraZeneca",0.1100000000,7598.00,GBX,88.81110,,9.46,,,,,0.05,,EOF916125394,
Market buy,2021-01-28 14:30:40,US70450Y1038,PYPL,"PayPal",0.1000000000,235.42,USD,1.21234,,19.42,,,,,,,EOF919262557,
Market buy,2021-01-28 14:36:27,US88160R1014,TSLA,"Tesla",0.0400000000,814.36,USD,1.21316,,26.85,,,,,,,EOF920216031,
Market sell,2021-02-01 10:05:56,GB0009895292,AZN,"AstraZeneca",0.2400000000,7489.00,GBX,88.11820,0.23,20.40,,,,,,,EOF942113808,
Market buy,2021-02-01 10:07:03,GB0009895292,AZN,"AstraZeneca",0.2500000000,7488.00,GBX,88.08409,,21.36,,,,,0.11,,EOF942113897,
Deposit,2021-02-01 10:27:25,,,,,,,,,5.00,,,5.00,,,"Transaction ID: 1756121752446855",c2b98f9b-916b-4e8e-994f-fab75967139c,
Market buy,2021-02-01 14:30:10,US6549022043,NOK,"Nokia ADR",1.1200000000,4.98,USD,1.20970,,4.61,,,,,,,EOF943150404,
Market sell,2021-02-01 19:07:10,US88160R1014,TSLA,"Tesla",0.1020000000,834.16,USD,1.20702,0.49,70.49,,,,,,,EOF952034344,
Market buy,2021-02-02 14:49:52,US7170811035,PFE,"Pfizer",0.4000000000,34.90,USD,1.20273,,11.61,,,,,,,EOF957982765,
Market buy,2021-02-02 14:53:34,CA86730L1094,SNDL,"Sundial Growers",10.5000000000,1.05,USD,1.20215,,9.17,,,,,,,EOF957989199,
Market buy,2021-02-02 15:13:52,US0464332073,ATROB,"Astronics",1.0000000000,12.47,USD,1.20290,,10.37,,,,,,,EOF958022780,
Market buy,2021-02-02 17:09:29,AU0000069130,NAKD,"Naked Brand  ",9.0000000000,0.92,USD,1.20213,,6.87,,,,,,,EOF961756958,
Market buy,2021-02-02 19:16:20,US00165C1045,AMC,"AMC Entertainment Holdings",1.2000000000,7.85,USD,1.20173,,7.84,,,,,,,EOF963164068,
Market buy,2021-02-03 13:04:37,US42226N1090,HCMC,"Healthier Choices Management",2500.0000000000,0.00,USD,1.20120,,3.33,,,,,,,EOF965408299,
Market buy,2021-02-03 14:30:09,US4592001014,IBM,"IBM Corporation",0.2000000000,119.30,USD,1.20248,,19.84,,,,,,,EOF965420095,
Market buy,2021-02-03 14:30:13,CA86730L1094,SNDL,"Sundial Growers",4.3000000000,1.19,USD,1.20235,,4.26,,,,,,,EOF965421512,
Market sell,2021-02-03 14:31:05,CA86730L1094,SNDL,"Sundial Growers",1.0000000000,1.18,USD,1.20286,0.07,0.98,,,,,,,EOF966684308,
Deposit,2021-02-03 14:36:35,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 4626123629943538",a4697623-5866-4482-a132-0225229835cf,
Deposit,2021-02-03 15:09:17,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 1656123649555824",aedd3ea2-2410-4913-83c0-fb41912da437,
Market buy,2021-02-03 16:08:16,CA09228F1036,BB,"BlackBerry",1.3000000000,11.55,USD,1.20174,,12.49,,,,,,,EOF969899768,
Market buy,2021-02-03 17:49:01,US0272631021,AMLM,"American Lithium Minerals",20.0000000000,0.58,USD,1.20269,,9.64,,,,,,,EOF971357346,
Market buy,2021-02-03 20:31:28,CA86730L1094,SNDL,"Sundial Growers",25.0000000000,1.19,USD,1.20262,,24.74,,,,,,,EOF973487065,
Deposit,2021-02-04 06:41:57,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 1829124209157771",a3a15419-1acf-4cf2-bfdd-93002521ad52,
Deposit,2021-02-04 09:08:43,,,,,,,,,350.00,,,350.00,,,"Transaction ID: 4546124297221774",18b64d6d-0367-4947-b6d9-93581fa0e032,
Market buy,2021-02-04 13:00:03,CA42981E1043,HITIF,"High Tide",20.0000000000,0.46,USD,1.19918,,7.67,,,,,,,EOF974548300,
Market buy,2021-02-04 14:30:12,US36467W1099,GME,"GameStop",0.5600000000,91.40,USD,1.19865,,42.70,,,,,,,EOF974562839,
Market buy,2021-02-04 14:30:13,US36467W1099,GME,"GameStop",3.1000000000,91.40,USD,1.19861,,236.39,,,,,,,EOF974563334,
Market buy,2021-02-04 19:00:48,US1891251076,CLWD,"CloudCommerce",300.0000000000,0.10,USD,1.19618,,24.33,,,,,,,EOF982136683,
Market buy,2021-02-05 08:23:17,GB00B0WD0R35,SOLG,"SolGold",10.5000000000,21.20,GBX,87.41006,,2.56,,,,,0.01,,EOF983323894,
Deposit,2021-02-05 09:09:21,,,,,,,,,100.00,,,100.00,,,"Transaction ID: 1539125161602960",3ec85556-a084-4b2d-8e7c-8b2717b8eb24,
Market buy,2021-02-05 10:41:14,GB0009895292,AZN,"AstraZeneca",0.3000000000,7344.00,GBX,87.44259,,25.33,,,,,0.13,,EOF984439995,
Market buy,2021-02-05 11:03:09,LU1377527517,SEN,"Senvion",6.4000000000,0.37,EUR,1.00000,,2.37,,,,,,,EOF984442013,
Market buy,2021-02-05 14:30:03,US7475251036,QCOM,"Qualcomm",0.1100000000,148.94,USD,1.20155,,13.64,,,,,,,EOF984465384,
Market buy,2021-02-05 14:30:06,US09071M2052,BLRX,"BioLine RX ",7.5000000000,3.40,USD,1.20141,,21.23,,,,,,,EOF984466467,
Market buy,2021-02-05 14:30:13,US92766K1060,SPCE,"Virgin Galactic",1.0000000000,55.20,USD,1.20144,,45.94,,,,,,,EOF984468612,
Market buy,2021-02-05 14:30:22,US7665596034,RIGL,"Rigel",7.0000000000,4.44,USD,1.20149,,25.87,,,,,,,EOF984472104,
Deposit,2021-02-05 14:31:17,,,,,,,,,200.00,,,200.00,,,"Transaction ID: 4746125354769777",1629ea58-7ad6-4bea-b24e-70bcd858981b,
Market buy,2021-02-05 14:34:01,US88160R1014,TSLA,"Tesla",0.3300000000,842.02,USD,1.20131,,231.30,,,,,,,EOF987493655,
Market buy,2021-02-05 20:05:43,US42226N1090,HCMC,"Healthier Choices Management",10500.0000000000,0.00,USD,1.20396,,14.82,,,,,,,EOF994182785,
Deposit,2021-02-06 08:00:39,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 1649125984376773",c964f436-4b9e-46b3-a3cc-62acc439c52e,
Deposit,2021-02-06 22:29:53,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 4736126505924370",135d59f0-342a-48de-b1f1-c3dfbd760dae,
Deposit,2021-02-07 18:30:48,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 1729127226469666",53147fd7-8bb7-40f1-952b-a6236c169a7d,
Deposit,2021-02-08 06:58:21,,,,,,,,,20.00,,,20.00,,,"Transaction ID: 1356127675007694",3b2b050c-0ef5-455d-84c0-f362be1c18ab,
Deposit,2021-02-08 07:02:52,,,,,,,,,5.00,,,5.00,,,"Transaction ID: 4536127677711456",9c5e31fa-1fbc-49a4-ae1c-b2c1d73a817f,
Market buy,2021-02-08 08:01:18,DE0007472060,WDI,"Wirecard",20.0000000000,0.48,EUR,1.00000,,9.60,,,,,,,EOF995609676,
Market buy,2021-02-08 13:00:06,CA42981E1043,HITIF,"High Tide",40.0000000000,0.66,USD,1.20256,,21.95,,,,,,,EOF996947081,
Market buy,2021-02-08 13:00:07,CA37958K1093,REZZF,"Global Battery Metals",10.0000000000,0.86,USD,1.20256,,7.15,,,,,,,EOF996947097,
Market buy,2021-02-08 13:01:47,US02451V1017,ABML,"American Battery Metals",4.0000000000,3.94,USD,1.20254,,13.11,,,,,,,EOF996947385,
Market buy,2021-02-08 14:21:40,US15672M1062,CBBT,"Cerebain Biotech",30.0000000000,0.24,USD,1.20439,,5.98,,,,,,,EOF996961118,
Market buy,2021-02-08 14:22:51,US89388L1089,TLSS,"Transportation and Logistics Systems",500.0000000000,0.06,USD,1.20419,,26.82,,,,,,,EOF996961451,
Market buy,2021-02-08 14:28:59,LU1377527517,SEN,"Senvion",5.0000000000,0.64,EUR,1.00000,,3.20,,,,,,,EOF996963266,
Market buy,2021-02-08 14:31:09,CA86730L1094,SNDL,"Sundial Growers",5.0000000000,1.16,USD,1.20469,,4.81,,,,,,,EOF996980167,
Deposit,2021-02-08 14:36:04,,,,,,,,,2.00,,,2.00,,,"Transaction ID: 6159127949637332",99b79ef8-97e0-4f00-93da-21cda18d46e2,
Market buy,2021-02-08 14:36:51,US42226N1090,HCMC,"Healthier Choices Management",9000.0000000000,0.00,USD,1.20558,,14.18,,,,,,,EOF999668958,
Deposit,2021-02-08 19:12:37,,,,,,,,,70.00,,,70.00,,,"Transaction ID: 4756128115561894",51b0d4be-8416-4a61-ad22-50725d83ea2f,
Market buy,2021-02-08 19:13:34,US36320A1043,GAXY,"Galaxy Next Generation",1000.0000000000,0.05,USD,1.20493,,40.67,,,,,,,EOF1006495962,
Market buy,2021-02-08 19:28:56,US1891251076,CLWD,"CloudCommerce",105.0000000000,0.10,USD,1.20496,,8.71,,,,,,,EOF1006505383,
Market buy,2021-02-09 08:10:26,LU1377527517,SEN,"Senvion",10.5000000000,0.68,EUR,1.00000,,7.14,,,,,,,EOF1009340808,
Market buy,2021-02-09 15:32:22,US49834X2053,KWBT,"Kiwa Bio-Tech Products",249.0000000000,0.08,USD,1.20948,,16.26,,,,,,,EOF1013326169,
Deposit,2021-02-09 15:54:21,,,,,,,,,30.00,,,30.00,,,"Transaction ID: 1749128860608813",4aea8641-84b5-44be-aa63-9af928f66e29,
Market buy,2021-02-09 15:55:22,US49834X2053,KWBT,"Kiwa Bio-Tech Products",450.0000000000,0.07,USD,1.20950,,25.93,,,,,,,EOF1014550029,
Deposit,2021-02-09 19:31:37,,,,,,,,,1.00,,,1.00,,,"Transaction ID: 1546128990956939",21c9dae9-ed4a-4489-8a32-807640f778a1,
Deposit,2021-02-09 19:31:51,,,,,,,,,75.00,,,75.00,,,"Transaction ID: 4346128991095956",95dd88fb-6ce3-4176-8d23-baec5a19be3b,
Market buy,2021-02-09 19:33:24,US42226N1090,HCMC,"Healthier Choices Management",18000.0000000000,0.00,USD,1.21130,,53.49,,,,,,,EOF1017988724,
Market buy,2021-02-09 19:34:17,CA42981E1043,HITIF,"High Tide",40.5000000000,0.76,USD,1.21155,,25.54,,,,,,,EOF1017989200,
Deposit,2021-02-10 07:00:42,,,,,,,,,20.00,,,20.00,,,"Transaction ID: 6139129404408881",f86fcb76-2a31-4314-90b6-4b5ad6cb758f,
Deposit,2021-02-10 07:02:10,,,,,,,,,3.00,,,3.00,,,"Transaction ID: 4726129405297501",78ee9024-a7d9-4485-bf3e-9f9d3894a33b,
Market buy,2021-02-10 14:32:07,US49834X2053,KWBT,"Kiwa Bio-Tech Products",370.0000000000,0.08,USD,1.21310,,24.10,,,,,,,EOF1022891152,
Deposit,2021-02-10 14:44:02,,,,,,,,,100.00,,,100.00,,,"Transaction ID: 1846129682419886",f2110eca-429d-40ab-a1f2-99b3c8c310f9,
Market buy,2021-02-10 14:54:03,US46265G1076,IQST,"iQSTEL",115.0000000000,0.88,USD,1.21255,,82.99,,,,,,,EOF1023946056,
Market buy,2021-02-10 16:45:11,US46265G1076,IQST,"iQSTEL",20.0000000000,0.82,USD,1.21282,,13.52,,,,,,,EOF1027683463,
Deposit,2021-02-10 20:28:10,,,,,,,,,100.00,,,100.00,,,"Transaction ID: 1349129888898885",afb7ddef-86f0-432a-aab8-7caf2f863dcb,
Market buy,2021-02-10 20:29:02,US06684B2043,BANT,"Bantec",1040.0000000000,0.07,USD,1.21257,,58.32,,,,,,,EOF1029748330,
Market buy,2021-02-10 20:32:46,US46265G1076,IQST,"iQSTEL",40.0000000000,0.77,USD,1.21231,,25.41,,,,,,,EOF1029750717,
Market buy,2021-02-11 14:38:55,US49834X2053,KWBT,"Kiwa Bio-Tech Products",300.0000000000,0.06,USD,1.21420,,15.86,,,,,,,EOF1033236498,
Market buy,2021-02-12 19:28:11,CA42981E1043,HITIF,"High Tide",10.0000000000,0.63,USD,1.21177,,5.20,,,,,,,EOF1045820871,
Deposit,2021-02-16 10:33:51,,,,,,,,,15.00,,,15.00,,,"Transaction ID: 1839134716300341",81ff17ef-ab72-4e15-976e-887da1a7daf9,
Market buy,2021-02-16 13:44:02,US55302P2020,MGTI,"MGT Capital Investments",80.0000000000,0.18,USD,1.21160,,11.75,,,,,,,EOF1049626545,
Deposit,2021-02-17 08:07:54,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 1626135492730541",e32e2568-34eb-4d15-8ce4-98dfe74172ae,
Market buy,2021-02-17 13:03:40,US06684B2043,BANT,"Bantec",300.0000000000,0.04,USD,1.20609,,9.90,,,,,,,EOF1062897173,
Deposit,2021-02-19 15:31:24,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 1756137486833689",6ff89e04-5294-48a6-a170-5fd382e878ed,
Market buy,2021-02-19 15:32:02,CA42981E1043,HITIF,"High Tide",20.0000000000,0.57,USD,1.21295,,9.42,,,,,,,EOF1085847715,
Deposit,2021-02-19 15:33:25,,,,,,,,,3.00,,,3.00,,,"Transaction ID: 1846137488041416",5de81acb-f576-44c3-8485-8c28adf7fc0d,
Market buy,2021-02-19 15:39:38,US49834X2053,KWBT,"Kiwa Bio-Tech Products",120.0000000000,0.05,USD,1.21262,,5.39,,,,,,,EOF1085851979,
Market sell,2021-02-22 19:03:33,US46265G1076,IQST,"iQSTEL",72.0000000000,1.85,USD,1.21678,59.31,109.47,,,,,,,EOF1096837983,
Market buy,2021-02-22 19:08:44,CA42981E1043,HITIF,"High Tide",22.5000000000,0.57,USD,1.21646,,10.54,,,,,,,EOF1096840274,
Withdrawal,2021-02-23 11:34:01,,,,,,,,,100.00,,,,,,"Sent to card *6145",864e2f53-04cd-41cf-95aa-cea3e6d7252b,
Deposit,2021-02-25 08:50:44,,,,,,,,,100.00,,,100.00,,,"Transaction ID: 1859142430430992",5fbe2787-da8e-4fed-a988-cd3b120402d4,
Market buy,2021-02-25 14:30:12,US3789734080,GSAT,"Globalstar ",12.0000000000,1.95,USD,1.22241,,19.14,,,,,,,EOF1112486710,
Market buy,2021-02-25 14:30:18,IL0010851660,CRNT,"Ceragon Networks",20.0000000000,4.77,USD,1.22237,,78.05,,,,,,,EOF1112490531,
Market sell,2021-02-25 14:39:12,US36467W1099,GME,"GameStop",3.6600000000,143.44,USD,1.22283,150.23,429.32,,,,,,,EOF1112517411,
Market buy,2021-02-25 15:18:14,IE00B1XNHC34,INRG,"iShares Global Clean Energy",3.0000000000,1069.00,GBX,86.33890,,37.14,,,,,,,EOF1113561253,
Market buy,2021-02-25 15:22:22,US92766K1060,SPCE,"Virgin Galactic",2.0000000000,46.43,USD,1.22325,,75.91,,,,,,,EOF1113564435,
Market buy,2021-02-25 16:10:56,US87968A1043,TELL,"Tellurian",40.0000000000,3.08,USD,1.22184,,100.83,,,,,,,EOF1114745626,
Withdrawal,2021-02-25 16:14:00,,,,,,,,,200.00,,,,,,"Sent to card *6145",e7764b25-64c3-41c2-908e-6189566a9282,
Market buy,2021-02-26 08:26:07,CH0100191136,RLF,"Relief Therapeutics",40.0000000000,0.32,CHF,1.09905,,11.79,,,,,,,EOF1117655286,
Deposit,2021-02-26 17:28:38,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 4736143605176801",6e4191fb-5fb4-4ad9-bac7-c6ddfc2b88dd,
Market buy,2021-02-26 17:33:49,US42226N1090,HCMC,"Healthier Choices Management",10000.0000000000,0.00,USD,1.20772,,16.56,,,,,,,EOF1120728392,
Deposit,2021-03-01 19:32:34,,,,,,,,,100.00,,,100.00,,,"Transaction ID: 6139146271527726",f7e1c2cd-163e-4f74-83eb-87461d615568,
Market buy,2021-03-01 19:35:29,US88338N1072,TXMD,"TherapeuticsMD",65.0000000000,1.48,USD,1.20407,,79.90,,,,,,,EOF1129489053,
Market buy,2021-03-01 19:46:18,US88338N1072,TXMD,"TherapeuticsMD",15.0000000000,1.49,USD,1.20416,,18.56,,,,,,,EOF1129491254,
Deposit,2021-03-02 16:15:04,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 6539147017039113",9a4f3f0f-4415-4d2e-98bb-c4fe9e592ed7,
Market buy,2021-03-02 18:39:41,US02451V1017,ABML,"American Battery Metals",4.3000000000,2.68,USD,1.20844,,9.54,,,,,,,EOF1133835655,
Deposit,2021-03-03 19:25:47,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 4856147995462295",dcca1667-3e38-4b1c-a31e-cf9b64f38012,
Market buy,2021-03-03 19:26:22,CA42981E1043,HITIF,"High Tide",20.0000000000,0.63,USD,1.20658,,10.51,,,,,,,EOF1137882046,
Deposit,2021-03-04 15:12:35,,,,,,,,,200.00,,,200.00,,,"Transaction ID: 1856148707546645",8d83be66-99a9-4327-a1c5-fb5758809a8e,
Market buy,2021-03-04 15:12:50,US92766K1060,SPCE,"Virgin Galactic",4.0000000000,29.20,USD,1.20308,,97.08,,,,,,,EOF1141118888,
Market buy,2021-03-04 15:14:02,CA86730L1094,SNDL,"Sundial Growers",20.0000000000,1.14,USD,1.20323,,18.95,,,,,,,EOF1141120092,
Market buy,2021-03-04 15:15:53,US46265G1076,IQST,"iQSTEL",80.0000000000,0.87,USD,1.20325,,57.92,,,,,,,EOF1141122565,
Market buy,2021-03-04 15:16:59,US88338N1072,TXMD,"TherapeuticsMD",20.0000000000,1.30,USD,1.20316,,21.61,,,,,,,EOF1141123726,
Market buy,2021-03-04 15:24:01,CA42981E1043,HITIF,"High Tide",12.0000000000,0.56,USD,1.20243,,5.62,,,,,,,EOF1141130761,
Deposit,2021-03-04 20:40:25,,,,,,,,,25.00,,,25.00,,,"Transaction ID: 1346148904230595",33a4d47e-cc46-49a7-94e7-1a3f6a3fae21,
Market buy,2021-03-04 20:41:36,CA43366H1001,HVBTF,"HIVE Blockchain",7.8000000000,3.54,USD,1.19682,,23.07,,,,,,,EOF1144270576,
Deposit,2021-03-04 20:42:55,,,,,,,,,50.00,,,50.00,,,"Transaction ID: 1856148905741519",7b2d479c-7fff-46d6-9ded-9456af99b52a,
Market buy,2021-03-04 20:43:35,US62914V1061,NIO,"NIO Inc",1.2500000000,39.37,USD,1.19677,,41.12,,,,,,,EOF1144271350,
