Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2021-03-16 14:00:49,US46265G1076,IQST,"iQSTEL",183.0000000000,1.07,USD,1.19059,34.78,164.46,,,,,,,EOF1202275474,
Market sell,2021-03-16 14:33:23,CA86730L1094,SNDL,"Sundial Growers",100.0000000000,1.64,USD,1.19112,38.50,137.68,,,,,,,EOF1202293511,
Market sell,2021-03-16 14:39:03,US62914V1061,NIO,"NIO Inc",1.2500000000,45.17,USD,1.19068,6.30,47.42,,,,,,,EOF1202296505,
Withdrawal,2021-03-16 14:47:00,,,,,,,,,300.00,,,,,,"Sent to card *6145",00ccd5ae-987b-42fd-9efe-737c9893b6af,
Market buy,2021-03-16 14:52:35,US8051111016,SVRA,"Savara ",20.0000000000,2.48,USD,1.19046,,41.66,,,,,,,EOF1202303088,
Dividend (Ordinary),2021-03-16 15:07:26,US4592001014,IBM,"IBM Corporation",0.2000000000,1.39,USD,Not available,,0.23,0.05,USD,,,,,,
Market buy,2021-03-16 17:09:04,US8785202040,TCLRY,"Technicolor",46.0000000000,0.17,USD,1.19006,,6.48,,,,,,,EOF1203554885,
Deposit,2021-03-17 09:30:02,,,,,,,,,15.00,,,15.11,0.11,,"Transaction ID: 4546159734002890",d2283b93-3823-4ea0-9d4c-524bd5f39704,
Market buy,2021-03-17 09:30:51,GB00BK7YQK64,HMSO,"Hammerson",33.0000000000,39.53,GBX,85.65862,,15.31,,,,,0.08,,EOF1206166892,
Market sell,2021-03-17 12:56:06,VGG7223M1005,PREM,"Premier African Minerals",4000.0000000000,0.32,GBX,85.67603,1.90,14.94,,,,,,,EOF1206179257,
Market buy,2021-03-17 12:56:39,XS2193972671,3STS,"-3x Short Tesla GraniteShares",2300.0000000000,0.01,USD,1.19066,,14.29,,,,,,,EOF1206179295,
Market sell,2021-03-18 14:23:30,US88338N1072,TXMD,"TherapeuticsMD",40.0000000000,1.62,USD,1.19188,6.34,54.37,,,,,,,EOF1211258960,
Market buy,2021-03-18 14:25:09,US64052L1061,NEOS,"Neos Therapeutics ",40.0000000000,1.38,USD,1.19127,,46.34,,,,,,,EOF1211259770,
Market sell,2021-03-18 14:25:32,CA42981E1043,HITIF,"High Tide",55.0000000000,0.63,USD,1.19165,0.82,28.94,,,,,,,EOF1211259945,
Market sell,2021-03-18 16:33:47,CA42981E1043,HITIF,"High Tide",180.0000000000,0.63,USD,1.19321,3.04,95.05,,,,,,,EOF1212755935,
Market buy,2021-03-18 17:04:09,US64052L1061,NEOS,"Neos Therapeutics ",28.0000000000,1.27,USD,1.19166,,29.84,,,,,,,EOF1212764568,
